# BUSCO version is: 5.7.1 
# The lineage dataset is: endopterygota_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 2124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1040at33392	Complete	NC_007420.3	5442366	5454543	+	2594.7	1757	https://v10-1.orthodb.org/?query=1040at33392	E3 ubiquitin ligase EDD, ubiquitin-associated domain
1224at33392	Complete	NC_007416.3	6625683	6632921	+	1554.1	1559	https://v10-1.orthodb.org/?query=1224at33392	Laminin G domain
1226at33392	Complete	NC_007417.3	10711386	10724759	+	2528.0	1650	https://v10-1.orthodb.org/?query=1226at33392	Leucine-rich repeat
1321at33392	Missing
1447at33392	Complete	NC_007425.3	3630715	3596392	-	1616.7	1215	https://v10-1.orthodb.org/?query=1447at33392	Cadherin-like
1503at33392	Complete	NC_007423.3	12953241	12935546	-	1736.4	1211	https://v10-1.orthodb.org/?query=1503at33392	FMP27,  C-terminal
1556at33392	Complete	NC_007417.3	13101010	13117910	+	1463.3	1394	https://v10-1.orthodb.org/?query=1556at33392	Fibronectin type III
1561at33392	Complete	NC_007418.3	6029240	6039800	+	2499.7	1510	https://v10-1.orthodb.org/?query=1561at33392	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
1673at33392	Complete	NC_007424.3	6071356	6087838	+	3243.3	1723	https://v10-1.orthodb.org/?query=1673at33392	Carbamoyl-phosphate synthase small subunit, N-terminal domain
1815at33392	Complete	NC_007424.3	5126979	5187169	+	2906.3	1726	https://v10-1.orthodb.org/?query=1815at33392	Immunoglobulin-like domain
1864at33392	Complete	NC_007422.5	3104110	3114900	+	2495.8	1540	https://v10-1.orthodb.org/?query=1864at33392	DNA-directed DNA polymerase, family B, exonuclease domain
1903at33392	Complete	NC_007418.3	1365117	1358312	-	1542.8	1360	https://v10-1.orthodb.org/?query=1903at33392	Serine/threonine-protein kinase SMG1
1937at33392	Complete	NC_007421.3	2787172	2794440	+	2519.9	1495	https://v10-1.orthodb.org/?query=1937at33392	Tetratricopeptide repeat
1964at33392	Complete	NC_007417.3	4812537	4824088	+	1392.3	917	https://v10-1.orthodb.org/?query=1964at33392	DNA-directed DNA polymerase, family B, exonuclease domain
1980at33392	Missing
2010at33392	Complete	NC_007422.5	8324678	8334251	+	825.2	1080	https://v10-1.orthodb.org/?query=2010at33392	nuclear pore membrane glycoprotein 210
2351at33392	Complete	NC_007419.2	6287468	6260211	-	1940.3	1257	https://v10-1.orthodb.org/?query=2351at33392	Pecanex, C-terminal
2366at33392	Complete	NC_007421.3	5017507	5040819	+	3032.3	1426	https://v10-1.orthodb.org/?query=2366at33392	Clathrin heavy chain
2376at33392	Complete	NC_007416.3	4485668	4474892	-	1498.0	1026	https://v10-1.orthodb.org/?query=2376at33392	Sister chromatid cohesion C-terminal domain
2382at33392	Complete	NC_007423.3	13775083	13784219	+	1204.9	1082	https://v10-1.orthodb.org/?query=2382at33392	Tuberin, N-terminal
2416at33392	Complete	NC_007416.3	7021188	7011135	-	1939.9	1138	https://v10-1.orthodb.org/?query=2416at33392	Mon2, C-terminal
2473at33392	Complete	NC_007422.5	12217047	12227060	+	2797.6	1634	https://v10-1.orthodb.org/?query=2473at33392	DnaJ domain
2565at33392	Complete	NC_007424.3	5190056	5203161	+	2083.1	1439	https://v10-1.orthodb.org/?query=2565at33392	Zinc finger, PHD-type
2645at33392	Complete	NC_007424.3	5482118	5469853	-	1699.6	1392	https://v10-1.orthodb.org/?query=2645at33392	Proteasome component Ecm29
2647at33392	Complete	NC_007422.5	6817161	6802876	-	1537.9	1283	https://v10-1.orthodb.org/?query=2647at33392	Autophagy-related, C-terminal
2650at33392	Complete	NC_007418.3	28750121	28774961	+	2617.1	1350	https://v10-1.orthodb.org/?query=2650at33392	Sec7, C-terminal
2690at33392	Complete	NC_007418.3	19849457	19860984	+	1125.1	1212	https://v10-1.orthodb.org/?query=2690at33392	Nucleoprotein TPR/MLP1
2789at33392	Complete	NC_007416.3	7232806	7222176	-	2065.0	1294	https://v10-1.orthodb.org/?query=2789at33392	Rho GTPase-activating protein domain
3036at33392	Complete	NC_007424.3	5555802	5546890	-	2697.1	1384	https://v10-1.orthodb.org/?query=3036at33392	CHD, C-terminal 2
3209at33392	Complete	NC_007417.3	10035593	10029884	-	1472.1	957	https://v10-1.orthodb.org/?query=3209at33392	dDENN domain
3472at33392	Complete	NC_007422.5	11554456	11539693	-	1318.3	1005	https://v10-1.orthodb.org/?query=3472at33392	Bromodomain
3519at33392	Complete	NC_007424.3	4052215	4073202	+	2424.0	1233	https://v10-1.orthodb.org/?query=3519at33392	Ankyrin repeat
3563at33392	Missing
3572at33392	Complete	NC_007417.3	8982458	8966743	-	1629.0	1090	https://v10-1.orthodb.org/?query=3572at33392	High mobility group box domain
3627at33392	Complete	NC_007416.3	4119265	4126542	+	2897.5	1609	https://v10-1.orthodb.org/?query=3627at33392	Armadillo-type fold
3733at33392	Complete	NC_007419.2	43022	35091	-	2539.5	1521	https://v10-1.orthodb.org/?query=3733at33392	uDENN domain
3737at33392	Complete	NC_007417.3	7616079	7605631	-	2684.1	1482	https://v10-1.orthodb.org/?query=3737at33392	Thioredoxin domain
4074at33392	Complete	NC_007422.5	1172926	1181392	+	1142.2	756	https://v10-1.orthodb.org/?query=4074at33392	guanine nucleotide exchange factor subunit Rich
4197at33392	Missing
4223at33392	Complete	NC_007422.5	15233399	15248419	+	1036.9	877	https://v10-1.orthodb.org/?query=4223at33392	Thyroglobulin type-1
4339at33392	Complete	NC_007423.3	10604856	10616060	+	1773.5	1237	https://v10-1.orthodb.org/?query=4339at33392	WD40-repeat-containing domain
4484at33392	Complete	NC_007422.5	10594227	10614078	+	1669.6	1183	https://v10-1.orthodb.org/?query=4484at33392	Rap GTPase activating protein domain
4595at33392	Complete	NC_007416.3	1587252	1592022	+	2273.8	1134	https://v10-1.orthodb.org/?query=4595at33392	Cytoplasmic FMR1-interacting
4701at33392	Complete	NC_007422.5	13850320	13842798	-	1638.1	1289	https://v10-1.orthodb.org/?query=4701at33392	Active zone protein ELKS
4774at33392	Complete	NC_007424.3	13735779	13728703	-	1839.3	1085	https://v10-1.orthodb.org/?query=4774at33392	Superoxide dismutase, copper/zinc binding domain
4915at33392	Complete	NC_007419.2	1167130	1179587	+	1719.2	996	https://v10-1.orthodb.org/?query=4915at33392	uDENN domain
5068at33392	Complete	NC_007418.3	25315500	25309365	-	1702.6	879	https://v10-1.orthodb.org/?query=5068at33392	WD40/YVTN repeat-like-containing domain superfamily
5169at33392	Complete	NC_007420.3	8243139	8227414	-	1581.3	1093	https://v10-1.orthodb.org/?query=5169at33392	UDP-glucose:Glycoprotein Glucosyltransferase
5263at33392	Complete	NC_007419.2	9859333	9871449	+	1597.8	938	https://v10-1.orthodb.org/?query=5263at33392	von Willebrand factor, type D domain
5266at33392	Complete	NC_007422.5	2360326	2364820	+	1393.3	756	https://v10-1.orthodb.org/?query=5266at33392	PAN/Apple domain
5384at33392	Complete	NC_007420.3	9278123	9273313	-	1248.2	864	https://v10-1.orthodb.org/?query=5384at33392	WD40 repeat
5437at33392	Complete	NC_007422.5	228925	241585	+	1466.2	895	https://v10-1.orthodb.org/?query=5437at33392	Paired amphipathic helix
5668at33392	Complete	NC_007423.3	4915260	4943223	+	1768.2	1264	https://v10-1.orthodb.org/?query=5668at33392	Sec7, C-terminal
5695at33392	Complete	NC_007418.3	2808893	2802503	-	1221.6	838	https://v10-1.orthodb.org/?query=5695at33392	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
5830at33392	Complete	NC_007424.3	9182981	9194824	+	1708.7	1042	https://v10-1.orthodb.org/?query=5830at33392	K Homology domain, type 1
5918at33392	Complete	NC_007422.5	13143798	13119446	-	1860.3	924	https://v10-1.orthodb.org/?query=5918at33392	Histidine phosphatase superfamily, clade-2
6081at33392	Complete	NC_007424.3	5901655	5904965	+	2061.3	955	https://v10-1.orthodb.org/?query=6081at33392	Splicing factor 3B subunit 1
6111at33392	Complete	NC_007423.3	6760182	6779973	+	1517.8	859	https://v10-1.orthodb.org/?query=6111at33392	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
6183at33392	Complete	NC_007422.5	11482031	11470736	-	1435.7	816	https://v10-1.orthodb.org/?query=6183at33392	TRPM, tetramerisation domain
6420at33392	Complete	NC_007417.3	3758317	3753108	-	692.2	880	https://v10-1.orthodb.org/?query=6420at33392	FANCI solenoid 2 domain
6526at33392	Complete	NC_007418.3	17705918	17737665	+	1362.0	837	https://v10-1.orthodb.org/?query=6526at33392	Ankyrin repeat
6540at33392	Complete	NC_007425.3	2522225	2518859	-	1876.4	990	https://v10-1.orthodb.org/?query=6540at33392	Membrane-associated protein Hem
6551at33392	Complete	NC_007416.3	3317286	3312468	-	788.3	507	https://v10-1.orthodb.org/?query=6551at33392	Histone-lysine N-methyltransferase DOT1 domain
6679at33392	Complete	NC_007417.3	5335510	5348451	+	1562.6	1086	https://v10-1.orthodb.org/?query=6679at33392	CLASP N-terminal domain
6697at33392	Complete	NC_007421.3	9005970	9020334	+	935.2	589	https://v10-1.orthodb.org/?query=6697at33392	SET domain
6700at33392	Complete	NC_007417.3	14591266	14581567	-	1878.4	1130	https://v10-1.orthodb.org/?query=6700at33392	Leucine-rich repeat
6911at33392	Complete	NC_007425.3	5068241	5054991	-	966.6	901	https://v10-1.orthodb.org/?query=6911at33392	Hook-like protein family
6988at33392	Complete	NC_007424.3	4114490	4112111	-	715.1	500	https://v10-1.orthodb.org/?query=6988at33392	Rab-GTPase-TBC domain
6994at33392	Complete	NC_007424.3	12582502	12594631	+	1138.9	911	https://v10-1.orthodb.org/?query=6994at33392	Rapamycin-insensitive companion of mTOR, domain 4
7081at33392	Complete	NC_007418.3	9148083	9135996	-	1155.1	681	https://v10-1.orthodb.org/?query=7081at33392	Peptidase S8/S53 domain
7103at33392	Complete	NC_007418.3	1056772	1074238	+	1963.7	1019	https://v10-1.orthodb.org/?query=7103at33392	CLU domain
7116at33392	Complete	NC_007418.3	8152841	8146975	-	1042.5	629	https://v10-1.orthodb.org/?query=7116at33392	MIF4G-like domain superfamily
7153at33392	Complete	NC_007417.3	7579811	7565881	-	942.5	773	https://v10-1.orthodb.org/?query=7153at33392	EGF-like, conserved site
7239at33392	Complete	NC_007416.3	8051801	8038104	-	842.6	739	https://v10-1.orthodb.org/?query=7239at33392	WASH complex subunit 7, central domain
7359at33392	Complete	NC_007422.5	1485059	1470116	-	841.7	683	https://v10-1.orthodb.org/?query=7359at33392	Dbl homology (DH) domain
7407at33392	Complete	NC_007421.3	9394652	9374450	-	925.9	500	https://v10-1.orthodb.org/?query=7407at33392	SH3 domain
7448at33392	Complete	NC_007420.3	10236305	10240954	+	1361.0	814	https://v10-1.orthodb.org/?query=7448at33392	Neuralized homology repeat (NHR) domain
7475at33392	Complete	NC_007419.2	10343894	10326826	-	1286.4	793	https://v10-1.orthodb.org/?query=7475at33392	Ankyrin repeat
7509at33392	Complete	NC_007422.5	2556168	2561504	+	808.8	521	https://v10-1.orthodb.org/?query=7509at33392	Zinc finger C2H2 superfamily
7690at33392	Complete	NC_007418.3	3446326	3462707	+	1575.6	976	https://v10-1.orthodb.org/?query=7690at33392	Immunoglobulin-like domain
7692at33392	Complete	NC_007421.3	8974333	9003708	+	1521.8	989	https://v10-1.orthodb.org/?query=7692at33392	Ankyrin repeat
7736at33392	Complete	NC_007417.3	12566811	12555067	-	1786.9	1453	https://v10-1.orthodb.org/?query=7736at33392	rootletin
7759at33392	Complete	NC_007422.5	13636338	13648548	+	685.2	660	https://v10-1.orthodb.org/?query=7759at33392	Protein kinase domain
7813at33392	Complete	NC_007424.3	13707551	13703063	-	1819.0	943	https://v10-1.orthodb.org/?query=7813at33392	Transcription initiation factor TFIID subunit 2
7857at33392	Complete	NC_007423.3	7118221	7107492	-	1621.7	1097	https://v10-1.orthodb.org/?query=7857at33392	Sec7 domain
7877at33392	Complete	NC_007420.3	5376987	5382627	+	1508.7	852	https://v10-1.orthodb.org/?query=7877at33392	RNA polymerase Rpb2, domain 2
7888at33392	Complete	NC_007420.3	11849698	11858982	+	1197.0	600	https://v10-1.orthodb.org/?query=7888at33392	Protein kinase domain
7902at33392	Complete	NC_007419.2	3412020	3407500	-	1377.0	1019	https://v10-1.orthodb.org/?query=7902at33392	WD40 repeat
7915at33392	Complete	NC_007418.3	27848676	27877272	+	1422.1	797	https://v10-1.orthodb.org/?query=7915at33392	Ras guanine-nucleotide exchange factors catalytic domain
7919at33392	Complete	NC_007420.3	15130087	15121749	-	1284.2	930	https://v10-1.orthodb.org/?query=7919at33392	Cysteine-rich Golgi apparatus protein 1 repeat
7925at33392	Complete	NC_007424.3	12769980	12777347	+	1171.2	596	https://v10-1.orthodb.org/?query=7925at33392	Toll/interleukin-1 receptor homology (TIR) domain
7933at33392	Complete	NC_007420.3	15277123	15288970	+	1437.9	983	https://v10-1.orthodb.org/?query=7933at33392	Beta-propeller repeat TECPR
8025at33392	Complete	NC_007423.3	10578925	10589124	+	1341.5	919	https://v10-1.orthodb.org/?query=8025at33392	P-type ATPase, cytoplasmic domain N
8063at33392	Complete	NC_007423.3	12953504	12960841	+	1405.2	1105	https://v10-1.orthodb.org/?query=8063at33392	WD40/YVTN repeat-like-containing domain superfamily
8137at33392	Complete	NC_007423.3	1011092	996159	-	667.6	699	https://v10-1.orthodb.org/?query=8137at33392	Gamma tubulin complex component, C-terminal
8178at33392	Complete	NC_007416.3	6663123	6671090	+	1004.2	919	https://v10-1.orthodb.org/?query=8178at33392	FY-rich, C-terminal
8408at33392	Complete	NC_007416.3	3939582	3947771	+	1738.0	900	https://v10-1.orthodb.org/?query=8408at33392	Cation-transporting P-type ATPase, C-terminal
8550at33392	Complete	NC_007417.3	5891382	5899103	+	990.6	641	https://v10-1.orthodb.org/?query=8550at33392	BRO1 domain
8561at33392	Complete	NC_007417.3	13144235	13149433	+	1243.9	1025	https://v10-1.orthodb.org/?query=8561at33392	Integrator complex subunit 1
8607at33392	Complete	NC_007418.3	20996217	21025009	+	1759.4	1014	https://v10-1.orthodb.org/?query=8607at33392	DNA topoisomerase, type IIA, subunit A/C-terminal
8676at33392	Complete	NC_007417.3	14911096	14900770	-	1006.8	769	https://v10-1.orthodb.org/?query=8676at33392	erythroid differentiation-related factor 1
8689at33392	Complete	NC_007424.3	5702703	5712636	+	1476.3	822	https://v10-1.orthodb.org/?query=8689at33392	Sterol-sensing domain
8740at33392	Complete	NC_007425.3	2155264	2233879	+	1751.1	870	https://v10-1.orthodb.org/?query=8740at33392	Calcium-activated potassium channel BK, alpha subunit
8777at33392	Complete	NC_007416.3	5078099	5073756	-	1603.1	1019	https://v10-1.orthodb.org/?query=8777at33392	TATA-binding protein interacting (TIP20)
8839at33392	Complete	NC_007419.2	12078838	12091507	+	809.9	744	https://v10-1.orthodb.org/?query=8839at33392	SAC3/GANP/THP3
9071at33392	Complete	NC_007424.3	4023060	4018045	-	1699.6	874	https://v10-1.orthodb.org/?query=9071at33392	exportin-1
9080at33392	Complete	NC_007420.3	10695275	10691936	-	800.0	613	https://v10-1.orthodb.org/?query=9080at33392	XPG/Rad2 endonuclease
9083at33392	Complete	NC_007418.3	26623817	26660110	+	1365.0	901	https://v10-1.orthodb.org/?query=9083at33392	Pleckstrin homology domain
9126at33392	Complete	NC_007424.3	3959442	4004119	+	1862.0	1176	https://v10-1.orthodb.org/?query=9126at33392	Glycogen debranching enzyme, central domain
9189at33392	Complete	NC_007418.3	10852353	10843331	-	1154.0	793	https://v10-1.orthodb.org/?query=9189at33392	WASH complex, subunit strumpellin
9194at33392	Complete	NC_007420.3	14765767	14771199	+	1522.4	993	https://v10-1.orthodb.org/?query=9194at33392	WD40/YVTN repeat-like-containing domain superfamily
9206at33392	Complete	NC_007417.3	12571012	12574491	+	829.5	818	https://v10-1.orthodb.org/?query=9206at33392	Armadillo-type fold
9376at33392	Complete	NC_007419.2	4253592	4258060	+	805.3	729	https://v10-1.orthodb.org/?query=9376at33392	EGF-like calcium-binding domain
9404at33392	Complete	NC_007424.3	98678	60994	-	1115.3	675	https://v10-1.orthodb.org/?query=9404at33392	Transmembrane protein TMEM132, C-terminal
9432at33392	Complete	NC_007424.3	6227771	6175226	-	501.1	403	https://v10-1.orthodb.org/?query=9432at33392	PDZ domain
9436at33392	Complete	NC_007424.3	15817032	15812673	-	1403.4	933	https://v10-1.orthodb.org/?query=9436at33392	CUB domain
9531at33392	Complete	NC_007424.3	13954746	13942393	-	652.7	411	https://v10-1.orthodb.org/?query=9531at33392	FYVE zinc finger
9603at33392	Complete	NC_007423.3	3467453	3448485	-	1107.7	593	https://v10-1.orthodb.org/?query=9603at33392	CUB domain
9679at33392	Complete	NC_007420.3	14728815	14724784	-	1579.1	889	https://v10-1.orthodb.org/?query=9679at33392	Importin repeat 4
9910at33392	Complete	NC_007418.3	453375	464261	+	1307.1	954	https://v10-1.orthodb.org/?query=9910at33392	WD40-repeat-containing domain
10409at33392	Complete	NC_007424.3	10882723	10889130	+	1285.8	826	https://v10-1.orthodb.org/?query=10409at33392	NHL repeat
10442at33392	Complete	NC_007417.3	10007504	10017526	+	1704.8	933	https://v10-1.orthodb.org/?query=10442at33392	Cyclic nucleotide-binding domain
10581at33392	Complete	NC_007422.5	3095333	3103674	+	1541.3	924	https://v10-1.orthodb.org/?query=10581at33392	Armadillo-type fold
10629at33392	Complete	NC_007422.5	6124960	6129474	+	1305.4	754	https://v10-1.orthodb.org/?query=10629at33392	Ferric reductase, NAD binding domain
10632at33392	Complete	NC_007416.3	4993046	4996804	+	1386.6	831	https://v10-1.orthodb.org/?query=10632at33392	Aminoacyl-tRNA synthetase, class Ia
10667at33392	Complete	NC_007420.3	8529312	8533651	+	1579.7	864	https://v10-1.orthodb.org/?query=10667at33392	FACT complex subunit Spt16 domain
10721at33392	Missing
10790at33392	Complete	NC_007419.2	4270078	4274308	+	1085.1	606	https://v10-1.orthodb.org/?query=10790at33392	Coronin
10838at33392	Complete	NC_007419.2	2292300	2300550	+	1662.3	774	https://v10-1.orthodb.org/?query=10838at33392	EF-hand, Ca insensitive
10878at33392	Complete	NC_007424.3	14333109	14370719	+	1296.2	759	https://v10-1.orthodb.org/?query=10878at33392	Formin, FH3 domain
10901at33392	Complete	NC_007416.3	5689489	5694560	+	1525.1	770	https://v10-1.orthodb.org/?query=10901at33392	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
10902at33392	Complete	NC_007420.3	5792609	5788404	-	185.9	167	https://v10-1.orthodb.org/?query=10902at33392	uncharacterized protein LOC108745060
10919at33392	Complete	NC_007419.2	9234945	9242770	+	1673.9	919	https://v10-1.orthodb.org/?query=10919at33392	Aminoacyl-tRNA synthetase, class Ia
10925at33392	Complete	NC_007417.3	10470402	10475389	+	357.2	338	https://v10-1.orthodb.org/?query=10925at33392	SCAR/WAVE family
10976at33392	Complete	NC_007418.3	821484	819067	-	1227.9	592	https://v10-1.orthodb.org/?query=10976at33392	Helicase, C-terminal
11006at33392	Complete	NC_007417.3	5519201	5544773	+	1202.5	660	https://v10-1.orthodb.org/?query=11006at33392	Diacylglycerol kinase
11012at33392	Complete	NC_007419.2	11430954	11443527	+	1366.2	930	https://v10-1.orthodb.org/?query=11012at33392	Exportin-1/Importin-beta-like
11043at33392	Complete	NC_007423.3	4754636	4770364	+	1058.2	771	https://v10-1.orthodb.org/?query=11043at33392	DNA-directed RNA polymerase
11090at33392	Complete	NC_007417.3	8633654	8629248	-	1360.4	754	https://v10-1.orthodb.org/?query=11090at33392	Coatomer subunit beta
11167at33392	Complete	NC_007423.3	6124684	6138377	+	908.0	618	https://v10-1.orthodb.org/?query=11167at33392	Protein kinase domain
11178at33392	Complete	NC_007424.3	14513429	14518829	+	1060.7	603	https://v10-1.orthodb.org/?query=11178at33392	Beta-N-acetylglucosaminidase
11298at33392	Complete	NC_007419.2	43667	48494	+	1375.8	883	https://v10-1.orthodb.org/?query=11298at33392	RUN domain
11299at33392	Complete	NC_007422.5	15221468	15203059	-	711.7	529	https://v10-1.orthodb.org/?query=11299at33392	Fibronectin type III
11304at33392	Complete	NC_007416.3	8104092	8121091	+	1241.7	743	https://v10-1.orthodb.org/?query=11304at33392	SH3 domain
11331at33392	Complete	NC_007423.3	12925164	12901162	-	1335.3	979	https://v10-1.orthodb.org/?query=11331at33392	Mediator complex subunit Med13, C-terminal
11388at33392	Complete	NC_007417.3	8986243	8983172	-	804.5	602	https://v10-1.orthodb.org/?query=11388at33392	Rab-GTPase-TBC domain
11429at33392	Complete	NC_007423.3	32221	9870	-	968.8	678	https://v10-1.orthodb.org/?query=11429at33392	Lethal giant larvae homologue 2
11623at33392	Complete	NC_007418.3	27810873	27790763	-	1016.3	588	https://v10-1.orthodb.org/?query=11623at33392	Cold shock domain
11701at33392	Complete	NC_007423.3	11737017	11739724	+	1107.7	685	https://v10-1.orthodb.org/?query=11701at33392	Zinc finger, RING-CH-type
11793at33392	Complete	NC_007419.2	8320442	8312980	-	556.7	527	https://v10-1.orthodb.org/?query=11793at33392	Myc-type, basic helix-loop-helix (bHLH) domain
11884at33392	Complete	NC_007423.3	4956683	4975589	+	740.2	504	https://v10-1.orthodb.org/?query=11884at33392	Ubiquitin specific protease, conserved site
11904at33392	Complete	NC_007424.3	8866265	8831238	-	821.3	639	https://v10-1.orthodb.org/?query=11904at33392	Ankyrin repeat-containing domain
12042at33392	Complete	NC_007421.3	774443	770205	-	1372.2	897	https://v10-1.orthodb.org/?query=12042at33392	Integrator complex subunit 2
12162at33392	Complete	NC_007418.3	7603521	7596665	-	1425.7	1393	https://v10-1.orthodb.org/?query=12162at33392	BP28, C-terminal domain
12178at33392	Complete	NC_007417.3	14926704	14922754	-	1726.8	807	https://v10-1.orthodb.org/?query=12178at33392	DNA2/NAM7 helicase, AAA domain
12240at33392	Complete	NC_007418.3	13589271	13576686	-	830.4	802	https://v10-1.orthodb.org/?query=12240at33392	Virilizer, N-terminal
12264at33392	Complete	NC_007418.3	15592696	15583024	-	1547.8	824	https://v10-1.orthodb.org/?query=12264at33392	Pyridoxal phosphate-dependent transferase
12344at33392	Complete	NC_007416.3	3971661	3962697	-	1120.9	704	https://v10-1.orthodb.org/?query=12344at33392	C2 domain
12398at33392	Complete	NC_007422.5	3809320	3801828	-	913.1	906	https://v10-1.orthodb.org/?query=12398at33392	Tetratricopeptide repeat
12405at33392	Complete	NC_007416.3	8549834	8562216	+	1279.1	742	https://v10-1.orthodb.org/?query=12405at33392	Importin-beta, N-terminal domain
12417at33392	Complete	NC_007425.3	4379883	4368325	-	1499.8	783	https://v10-1.orthodb.org/?query=12417at33392	Ribonuclease III domain
12432at33392	Complete	NC_007419.2	3438942	3425545	-	830.7	683	https://v10-1.orthodb.org/?query=12432at33392	ARID DNA-binding domain
12473at33392	Complete	NC_007423.3	11309808	11319697	+	879.6	545	https://v10-1.orthodb.org/?query=12473at33392	WD40 repeat
12694at33392	Complete	NC_007416.3	222977	226771	+	872.3	589	https://v10-1.orthodb.org/?query=12694at33392	Exocyst complex component 2
12726at33392	Complete	NC_007417.3	14249268	14244648	-	1257.6	959	https://v10-1.orthodb.org/?query=12726at33392	Nucleoporin, Nup133/Nup155-like, C-terminal
12761at33392	Complete	NC_007420.3	4546251	4568027	+	1070.6	608	https://v10-1.orthodb.org/?query=12761at33392	Bicarbonate transporter, C-terminal
12843at33392	Complete	NC_007422.5	6662464	6651590	-	807.8	532	https://v10-1.orthodb.org/?query=12843at33392	Ankyrin repeat
12845at33392	Complete	NC_007424.3	7327077	7350511	+	1401.9	977	https://v10-1.orthodb.org/?query=12845at33392	WD40 repeat
12875at33392	Complete	NC_007418.3	136678	131509	-	1308.1	745	https://v10-1.orthodb.org/?query=12875at33392	Importin-beta, N-terminal domain
13104at33392	Complete	NC_007419.2	9938697	9928790	-	1531.4	870	https://v10-1.orthodb.org/?query=13104at33392	Formin, FH3 domain
13148at33392	Complete	NC_007420.3	5310420	5329891	+	588.3	422	https://v10-1.orthodb.org/?query=13148at33392	Katanin p80 WD40 repeat-containing subunit B1
13274at33392	Complete	NC_007423.3	11395061	11391263	-	1379.6	906	https://v10-1.orthodb.org/?query=13274at33392	TRAPP II complex, Trs120
13494at33392	Complete	NC_007419.2	12099725	12115039	+	1333.2	829	https://v10-1.orthodb.org/?query=13494at33392	DNA mitochondrial polymerase, exonuclease domain
13520at33392	Complete	NC_007420.3	8344899	8335618	-	366.3	403	https://v10-1.orthodb.org/?query=13520at33392	Folliculin-interacting protein, middle domain
13622at33392	Complete	NC_007418.3	2481725	2474069	-	823.5	594	https://v10-1.orthodb.org/?query=13622at33392	Calponin homology domain
13672at33392	Complete	NC_007424.3	12660115	12666137	+	695.2	691	https://v10-1.orthodb.org/?query=13672at33392	RNA polymerase II-associated protein 1, C-terminal
13811at33392	Complete	NC_007418.3	574845	567541	-	1106.2	679	https://v10-1.orthodb.org/?query=13811at33392	JNK-interacting protein 3 isoform X1
13837at33392	Complete	NC_007416.3	6091064	6097080	+	1067.7	588	https://v10-1.orthodb.org/?query=13837at33392	Carboxylesterase, type B
13895at33392	Complete	NC_007424.3	13542578	13549368	+	1079.5	749	https://v10-1.orthodb.org/?query=13895at33392	Dual specificity phosphatase, catalytic domain
