Orthogroups	Stevens
10442at33392	E
10581at33392	B
10629at33392	B
10632at33392	X
10667at33392	D
10790at33392	G
10838at33392	G
10878at33392	C
10901at33392	X
10902at33392	D
10919at33392	G
10925at33392	E
10976at33392	A
11006at33392	E
11012at33392	G
11043at33392	F
11090at33392	E
11167at33392	F
11178at33392	C
11298at33392	G
11299at33392	B
11304at33392	X
11331at33392	F
11388at33392	E
11429at33392	F
11623at33392	A
11701at33392	F
11793at33392	G
11884at33392	F
11904at33392	C
12042at33392	H
12162at33392	A
12178at33392	E
12240at33392	A
12264at33392	A
12344at33392	X
12398at33392	B
12405at33392	X
12417at33392	LG10
12432at33392	G
12473at33392	F
12694at33392	X
12726at33392	E
12761at33392	D
12843at33392	B
12845at33392	C
12875at33392	A
13104at33392	G
13148at33392	D
13274at33392	F
13494at33392	G
13520at33392	D
13622at33392	A
13672at33392	C
13811at33392	A
13837at33392	X
13895at33392	C
13924at33392	D
13959at33392	D
13990at33392	G
14116at33392	B
14121at33392	D
14212at33392	F
14297at33392	LG10
14326at33392	LG10
14360at33392	F
14408at33392	B
14797at33392	E
14817at33392	E
14828at33392	A
15014at33392	D
15035at33392	F
15056at33392	C
15093at33392	B
15145at33392	F
15197at33392	F
15206at33392	G
15211at33392	D
15244at33392	X
15344at33392	D
15476at33392	D
15496at33392	E
15554at33392	F
15603at33392	F
15662at33392	C
15729at33392	E
15736at33392	X
15757at33392	F
15810at33392	LG10
15931at33392	C
15937at33392	A
16111at33392	H
16197at33392	E
16211at33392	A
16367at33392	B
16492at33392	G
16604at33392	D
16636at33392	G
16711at33392	A
16803at33392	E
16816at33392	H
16844at33392	X
16941at33392	C
16944at33392	F
17002at33392	F
17164at33392	X
17218at33392	F
17260at33392	B
17280at33392	F
17402at33392	B
17406at33392	A
17436at33392	X
17454at33392	X
17562at33392	D
17778at33392	B
17779at33392	X
17841at33392	C
17870at33392	H
17942at33392	H
17965at33392	E
18095at33392	D
18102at33392	F
18123at33392	B
18170at33392	C
18217at33392	A
18265at33392	H
18307at33392	F
18319at33392	A
18364at33392	A
18396at33392	E
18418at33392	C
18485at33392	G
18625at33392	E
18669at33392	H
18688at33392	C
18704at33392	B
18871at33392	B
18937at33392	H
18960at33392	A
18962at33392	B
18993at33392	X
19159at33392	D
19197at33392	B
19212at33392	C
19237at33392	LG10
19490at33392	G
19513at33392	LG10
19518at33392	X
19576at33392	E
19703at33392	C
19750at33392	D
19811at33392	F
19862at33392	G
19938at33392	G
19947at33392	A
20137at33392	E
20154at33392	D
20200at33392	E
20260at33392	F
20347at33392	B
20393at33392	B
20413at33392	H
20478at33392	A
20572at33392	B
20578at33392	X
20657at33392	C
20713at33392	C
20755at33392	G
20822at33392	H
20871at33392	X
20903at33392	A
20947at33392	C
21058at33392	B
21123at33392	A
21142at33392	A
21156at33392	B
21164at33392	D
21358at33392	D
21377at33392	F
21395at33392	LG10
21447at33392	A
21667at33392	A
21773at33392	B
21777at33392	D
21810at33392	A
21872at33392	H
21907at33392	B
21919at33392	G
22168at33392	C
22212at33392	D
22375at33392	G
22383at33392	LG10
22425at33392	E
22462at33392	G
22547at33392	LG10
22694at33392	B
22698at33392	G
22700at33392	F
22720at33392	E
22758at33392	G
22793at33392	B
22801at33392	D
22922at33392	F
22999at33392	B
23035at33392	F
23046at33392	C
23050at33392	F
23192at33392	LG10
23231at33392	D
23314at33392	A
23332at33392	A
23401at33392	C
23402at33392	B
23416at33392	G
23428at33392	A
23454at33392	A
23571at33392	C
23652at33392	G
23708at33392	G
23751at33392	F
23886at33392	D
23893at33392	D
23900at33392	F
23920at33392	E
23991at33392	C
24031at33392	E
24037at33392	B
24129at33392	E
24181at33392	D
24277at33392	G
24313at33392	C
24370at33392	A
24464at33392	G
24500at33392	B
24708at33392	A
24785at33392	A
24807at33392	D
24830at33392	G
24831at33392	D
24860at33392	F
24945at33392	E
24989at33392	B
25051at33392	D
25099at33392	X
25155at33392	G
25229at33392	C
25264at33392	C
25625at33392	LG10
25671at33392	E
25672at33392	X
25744at33392	B
25801at33392	D
25808at33392	G
25826at33392	C
25833at33392	G
25865at33392	X
25962at33392	B
25982at33392	H
26108at33392	H
26117at33392	E
26153at33392	F
26232at33392	A
26299at33392	C
26339at33392	F
26342at33392	F
26372at33392	E
26541at33392	A
26589at33392	B
26637at33392	G
26701at33392	B
26706at33392	D
26744at33392	F
26754at33392	B
26891at33392	H
26936at33392	C
27066at33392	LG10
27094at33392	LG10
27137at33392	F
27241at33392	X
27284at33392	B
27321at33392	F
27414at33392	C
27416at33392	A
27468at33392	F
27543at33392	G
27582at33392	H
27587at33392	G
27624at33392	X
27912at33392	F
28046at33392	A
28054at33392	E
28056at33392	A
28201at33392	E
28229at33392	X
28238at33392	D
28252at33392	LG10
28254at33392	H
28462at33392	B
28649at33392	A
28841at33392	G
28970at33392	B
28997at33392	LG10
29006at33392	E
29020at33392	A
29049at33392	F
29080at33392	D
29122at33392	D
29318at33392	A
29374at33392	C
29448at33392	C
29450at33392	F
29453at33392	B
29538at33392	A
29593at33392	B
29751at33392	C
29759at33392	F
29765at33392	A
29771at33392	G
29819at33392	E
29835at33392	X
29853at33392	D
29992at33392	A
30074at33392	A
30105at33392	B
30189at33392	X
30205at33392	A
30275at33392	F
30294at33392	B
30448at33392	A
30523at33392	E
30601at33392	F
30614at33392	A
30645at33392	E
30793at33392	B
30825at33392	F
30867at33392	D
30981at33392	B
31027at33392	F
31054at33392	B
31216at33392	A
31340at33392	F
31341at33392	C
31584at33392	G
31763at33392	D
31801at33392	X
31850at33392	C
32236at33392	LG10
32267at33392	X
32341at33392	F
32569at33392	B
32720at33392	A
32746at33392	B
32887at33392	D
32974at33392	A
32975at33392	F
33081at33392	A
33125at33392	G
33347at33392	A
33413at33392	B
33501at33392	F
33541at33392	A
33555at33392	G
33555at33392	X
33567at33392	E
33663at33392	D
33859at33392	C
33907at33392	G
33940at33392	F
34033at33392	C
34045at33392	F
34131at33392	A
34166at33392	E
34245at33392	A
34358at33392	F
34427at33392	G
34518at33392	E
34533at33392	E
34563at33392	D
34784at33392	A
34848at33392	E
34998at33392	G
35038at33392	X
35048at33392	F
35103at33392	B
35136at33392	X
35304at33392	LG10
35372at33392	B
35387at33392	X
35390at33392	C
35399at33392	A
35432at33392	B
35454at33392	C
35524at33392	C
35651at33392	A
35709at33392	F
35783at33392	C
35844at33392	F
35849at33392	D
35886at33392	B
35889at33392	D
36062at33392	E
36223at33392	B
36277at33392	F
36340at33392	A
36498at33392	G
36508at33392	A
36563at33392	C
36629at33392	X
36769at33392	G
36898at33392	D
36967at33392	C
37070at33392	E
37221at33392	B
37291at33392	C
37308at33392	G
37352at33392	A
37384at33392	C
37398at33392	E
37462at33392	D
37594at33392	C
37633at33392	D
37649at33392	A
37660at33392	B
37688at33392	E
37863at33392	X
37931at33392	E
37972at33392	H
38031at33392	D
38109at33392	E
38175at33392	F
38381at33392	C
38540at33392	D
38568at33392	A
38595at33392	D
38633at33392	H
38737at33392	E
38756at33392	H
38824at33392	A
38863at33392	F
38912at33392	B
39088at33392	C
39138at33392	X
39186at33392	E
39241at33392	E
39276at33392	C
39353at33392	E
39474at33392	A
39500at33392	G
39529at33392	C
39593at33392	LG10
39609at33392	F
39717at33392	B
39809at33392	H
39889at33392	E
39895at33392	C
39977at33392	G
40035at33392	C
40074at33392	D
40087at33392	D
40126at33392	B
40134at33392	C
40146at33392	D
40346at33392	B
40515at33392	A
40571at33392	D
40593at33392	F
40600at33392	LG10
40709at33392	G
40735at33392	F
40800at33392	G
40822at33392	A
40894at33392	E
40902at33392	A
41016at33392	G
41253at33392	X
41258at33392	B
41263at33392	D
41300at33392	C
41306at33392	C
41364at33392	B
41521at33392	A
41572at33392	X
41638at33392	A
41697at33392	B
41720at33392	LG10
41901at33392	G
41942at33392	D
42041at33392	G
42066at33392	D
42095at33392	C
42107at33392	B
42129at33392	A
42142at33392	D
42167at33392	F
42175at33392	B
42226at33392	E
42238at33392	A
42287at33392	G
42344at33392	H
42381at33392	G
42423at33392	E
42451at33392	B
42611at33392	B
42626at33392	D
42631at33392	X
42652at33392	F
42781at33392	C
43062at33392	F
43184at33392	LG10
43199at33392	C
43243at33392	X
43279at33392	LG10
43338at33392	C
43343at33392	H
43395at33392	A
43497at33392	B
43508at33392	F
43820at33392	A
43845at33392	E
43905at33392	C
43944at33392	A
44041at33392	LG10
44084at33392	E
44113at33392	X
44230at33392	F
44286at33392	E
44325at33392	D
44346at33392	LG10
44494at33392	C
44551at33392	F
44653at33392	B
44726at33392	D
44779at33392	E
44855at33392	X
44889at33392	F
45014at33392	D
45052at33392	C
45077at33392	C
45086at33392	D
45103at33392	LG10
45168at33392	C
45178at33392	A
45211at33392	C
45345at33392	D
45444at33392	C
45544at33392	A
45594at33392	LG10
45622at33392	B
45634at33392	A
45659at33392	D
45754at33392	B
45769at33392	C
45771at33392	B
45793at33392	D
45867at33392	H
46035at33392	E
46218at33392	B
46420at33392	H
46448at33392	E
46496at33392	D
46524at33392	F
46528at33392	B
46597at33392	C
46673at33392	B
46706at33392	G
46710at33392	C
46759at33392	D
46855at33392	LG10
46871at33392	A
47004at33392	F
47016at33392	B
47141at33392	E
47165at33392	LG10
47188at33392	E
47214at33392	B
47239at33392	G
47251at33392	A
47331at33392	E
47388at33392	G
47445at33392	D
47743at33392	D
47766at33392	LG10
47921at33392	H
48025at33392	B
48028at33392	C
48149at33392	E
48222at33392	G
48305at33392	D
48348at33392	C
48349at33392	D
48431at33392	F
48452at33392	B
48497at33392	B
48891at33392	B
48906at33392	A
48926at33392	LG10
49052at33392	LG10
49204at33392	A
49321at33392	F
49344at33392	G
49353at33392	D
49359at33392	G
49486at33392	D
49548at33392	C
49553at33392	B
49882at33392	A
49958at33392	E
49965at33392	H
50099at33392	G
50174at33392	D
50197at33392	H
50235at33392	E
50239at33392	F
50257at33392	B
50333at33392	B
50449at33392	C
50460at33392	D
50491at33392	G
50818at33392	C
50878at33392	C
50908at33392	H
50942at33392	A
51019at33392	C
51217at33392	F
51239at33392	LG10
51250at33392	G
51355at33392	G
51517at33392	B
51557at33392	LG10
51720at33392	C
51721at33392	B
51814at33392	B
51926at33392	D
52084at33392	B
52206at33392	G
52238at33392	C
52258at33392	F
52325at33392	LG10
52347at33392	E
52474at33392	F
52565at33392	E
52569at33392	F
52608at33392	B
52613at33392	D
52683at33392	G
52718at33392	C
52744at33392	B
52753at33392	A
52821at33392	D
52835at33392	F
53021at33392	B
53046at33392	B
53064at33392	A
53146at33392	G
53154at33392	D
53174at33392	X
53219at33392	B
53279at33392	LG10
53321at33392	A
53395at33392	G
53455at33392	F
53524at33392	F
53542at33392	C
53544at33392	B
53613at33392	A
53656at33392	D
53673at33392	E
53737at33392	G
53774at33392	H
53849at33392	G
53859at33392	C
53926at33392	F
54031at33392	B
54220at33392	G
54254at33392	C
54338at33392	D
54403at33392	E
54429at33392	A
54449at33392	LG10
54486at33392	E
54545at33392	X
54562at33392	F
54572at33392	D
54630at33392	E
54646at33392	A
54884at33392	A
54922at33392	X
54969at33392	F
54982at33392	D
55066at33392	G
55137at33392	B
55173at33392	A
55224at33392	B
55359at33392	E
55513at33392	B
55588at33392	H
55677at33392	A
55734at33392	B
55804at33392	A
55960at33392	B
56025at33392	E
56038at33392	B
56087at33392	X
56094at33392	B
56126at33392	D
56136at33392	H
56264at33392	B
56271at33392	H
56290at33392	B
56314at33392	B
56325at33392	X
56386at33392	G
56493at33392	F
56506at33392	B
56574at33392	H
56869at33392	C
56937at33392	C
57038at33392	B
57185at33392	LG10
57218at33392	A
57237at33392	A
57263at33392	G
57482at33392	A
57630at33392	F
57999at33392	G
58112at33392	C
58122at33392	H
58418at33392	A
58435at33392	E
58612at33392	D
58681at33392	D
58687at33392	A
58693at33392	E
58855at33392	X
58968at33392	B
59010at33392	C
59078at33392	E
59217at33392	B
59253at33392	E
59393at33392	A
59421at33392	B
59425at33392	B
59499at33392	A
59521at33392	LG10
59533at33392	A
59539at33392	B
59601at33392	C
59631at33392	LG10
59760at33392	G
59912at33392	A
59917at33392	H
60045at33392	F
60133at33392	E
60265at33392	A
60291at33392	H
60325at33392	D
60341at33392	H
60364at33392	E
60450at33392	D
60550at33392	H
60560at33392	A
60657at33392	D
60736at33392	B
60822at33392	H
60850at33392	A
60893at33392	A
60927at33392	D
60935at33392	F
61033at33392	X
61067at33392	X
61227at33392	C
61244at33392	H
61311at33392	B
61316at33392	E
61317at33392	D
61334at33392	C
61463at33392	B
61504at33392	D
61549at33392	D
61550at33392	D
61636at33392	B
61648at33392	D
61713at33392	A
61724at33392	F
61736at33392	A
61826at33392	H
61840at33392	D
62135at33392	X
62181at33392	D
62331at33392	LG10
62392at33392	E
62446at33392	D
62459at33392	G
62492at33392	X
62535at33392	F
62551at33392	B
62643at33392	X
62861at33392	G
62890at33392	F
62904at33392	C
62908at33392	F
63043at33392	LG10
63048at33392	E
63102at33392	H
63115at33392	F
63116at33392	E
63152at33392	A
63187at33392	B
63245at33392	D
63263at33392	H
63368at33392	B
63476at33392	C
63558at33392	C
63611at33392	H
63790at33392	B
63809at33392	A
63956at33392	B
63970at33392	D
64006at33392	B
64093at33392	X
64274at33392	A
64441at33392	D
64495at33392	E
64554at33392	A
64585at33392	C
64614at33392	B
64650at33392	C
64675at33392	A
64883at33392	G
64925at33392	A
65048at33392	F
65075at33392	H
65095at33392	C
65190at33392	X
65306at33392	E
65314at33392	E
65376at33392	C
65452at33392	F
65542at33392	A
65545at33392	E
65564at33392	LG10
65594at33392	B
65619at33392	A
65924at33392	F
65944at33392	A
65996at33392	H
66029at33392	D
66103at33392	A
66108at33392	B
66138at33392	B
66165at33392	X
66174at33392	C
66211at33392	G
66272at33392	X
66308at33392	X
66442at33392	H
66456at33392	X
66506at33392	A
66582at33392	A
66584at33392	D
66694at33392	A
66706at33392	H
66747at33392	A
66776at33392	F
66873at33392	E
66877at33392	D
66888at33392	E
66954at33392	D
66960at33392	E
67007at33392	C
67040at33392	C
67141at33392	B
67319at33392	H
67471at33392	A
67542at33392	C
67610at33392	G
67624at33392	LG10
67685at33392	G
67693at33392	H
67754at33392	D
67769at33392	A
67937at33392	C
68006at33392	F
68112at33392	F
68165at33392	B
68297at33392	D
68504at33392	B
68579at33392	H
68602at33392	B
68621at33392	A
68688at33392	E
68730at33392	D
68738at33392	A
68971at33392	D
69244at33392	F
69272at33392	B
69378at33392	B
69449at33392	D
69538at33392	F
69579at33392	C
69713at33392	C
69716at33392	D
69808at33392	E
69913at33392	A
69997at33392	G
70044at33392	G
70106at33392	H
70138at33392	C
70184at33392	B
70299at33392	A
70328at33392	G
70355at33392	F
70431at33392	D
70458at33392	E
70469at33392	B
70694at33392	B
70724at33392	D
70755at33392	F
70814at33392	A
70817at33392	G
70891at33392	LG10
70929at33392	A
71022at33392	E
71050at33392	G
71151at33392	C
71242at33392	C
71372at33392	A
71409at33392	D
71605at33392	D
71638at33392	G
71640at33392	D
71727at33392	F
71778at33392	B
71820at33392	A
71853at33392	G
71890at33392	A
71905at33392	D
71941at33392	C
71944at33392	LG10
72155at33392	H
72292at33392	C
72307at33392	B
72340at33392	D
72406at33392	D
72444at33392	A
72551at33392	G
72595at33392	B
72680at33392	F
72726at33392	B
73017at33392	B
73024at33392	D
73066at33392	G
73113at33392	G
73136at33392	F
73169at33392	A
73228at33392	F
73235at33392	H
73304at33392	A
73441at33392	B
73595at33392	E
73728at33392	B
73794at33392	G
74062at33392	F
74114at33392	B
74136at33392	B
74309at33392	F
74424at33392	F
74457at33392	A
74489at33392	C
74506at33392	E
74510at33392	B
74530at33392	G
74656at33392	LG10
74672at33392	A
74811at33392	A
74829at33392	A
74836at33392	A
74843at33392	E
74979at33392	B
74986at33392	A
75002at33392	C
75043at33392	G
75072at33392	B
75171at33392	X
75283at33392	A
75296at33392	H
75411at33392	A
75492at33392	B
75566at33392	G
75674at33392	H
75766at33392	E
75787at33392	D
75790at33392	D
75833at33392	F
75889at33392	D
75940at33392	LG10
76213at33392	G
76407at33392	D
76469at33392	E
76585at33392	G
76648at33392	X
76668at33392	A
76727at33392	D
76942at33392	A
77063at33392	G
77066at33392	D
77067at33392	LG10
77114at33392	E
77203at33392	B
77240at33392	B
77338at33392	D
77490at33392	C
77527at33392	B
77555at33392	D
77555at33392	E
77774at33392	A
77915at33392	B
77931at33392	B
77946at33392	G
78006at33392	H
78153at33392	C
78179at33392	G
78207at33392	B
78214at33392	D
78296at33392	B
78334at33392	A
78334at33392	A
78382at33392	A
78444at33392	E
78494at33392	B
78620at33392	D
78793at33392	E
78854at33392	C
78858at33392	B
78966at33392	F
79107at33392	F
79204at33392	B
79211at33392	B
79396at33392	B
79418at33392	E
79454at33392	B
79468at33392	E
79473at33392	F
79523at33392	E
79534at33392	X
79630at33392	LG10
79683at33392	C
79728at33392	E
79759at33392	D
79760at33392	X
79862at33392	E
79880at33392	E
79910at33392	B
79970at33392	G
80051at33392	G
80297at33392	D
80305at33392	B
80327at33392	B
80344at33392	B
80400at33392	D
80534at33392	D
80541at33392	B
80618at33392	C
80665at33392	B
80782at33392	D
80803at33392	A
80899at33392	G
81049at33392	C
81400at33392	D
81406at33392	LG10
81482at33392	E
81547at33392	X
81580at33392	D
81766at33392	G
81857at33392	F
81879at33392	F
81893at33392	D
81925at33392	F
82031at33392	D
82036at33392	E
82047at33392	H
82075at33392	E
82164at33392	B
82230at33392	A
82285at33392	D
82301at33392	F
82474at33392	D
82562at33392	D
82647at33392	A
82681at33392	G
82741at33392	B
82777at33392	F
82859at33392	X
82889at33392	B
82892at33392	A
82907at33392	X
82916at33392	E
82922at33392	G
82943at33392	B
82946at33392	G
83135at33392	C
83135at33392	C
83163at33392	D
83174at33392	X
83226at33392	X
83292at33392	G
83312at33392	A
83314at33392	D
83321at33392	B
83414at33392	B
83460at33392	B
83512at33392	E
83563at33392	D
83659at33392	B
83756at33392	G
83783at33392	G
83851at33392	A
83873at33392	E
83984at33392	G
84017at33392	X
84029at33392	E
84098at33392	H
84139at33392	D
84297at33392	C
84467at33392	D
84475at33392	H
84570at33392	D
84658at33392	F
84666at33392	X
84735at33392	X
84839at33392	B
84860at33392	G
84976at33392	LG10
84982at33392	A
85055at33392	H
85072at33392	C
85204at33392	G
85220at33392	A
85262at33392	E
85382at33392	X
85429at33392	A
85513at33392	D
85567at33392	B
85606at33392	A
85641at33392	E
85672at33392	G
85721at33392	G
85745at33392	G
85808at33392	C
85832at33392	H
85885at33392	X
85998at33392	F
86058at33392	C
86066at33392	D
86146at33392	A
86223at33392	A
86283at33392	D
86363at33392	B
86566at33392	E
86688at33392	G
86853at33392	B
86950at33392	A
87008at33392	D
87037at33392	C
87060at33392	D
87063at33392	A
87067at33392	C
87096at33392	F
87102at33392	B
87191at33392	C
87225at33392	A
87250at33392	F
87301at33392	D
87306at33392	A
87364at33392	X
87444at33392	B
87499at33392	LG10
87501at33392	E
87511at33392	X
87537at33392	C
87633at33392	E
87658at33392	B
87740at33392	H
87780at33392	E
87805at33392	X
87827at33392	C
87855at33392	F
87953at33392	A
88026at33392	E
88063at33392	F
88076at33392	B
88108at33392	C
88161at33392	B
88196at33392	E
88271at33392	D
88282at33392	B
88288at33392	D
88295at33392	X
88316at33392	C
88328at33392	D
88392at33392	D
88453at33392	D
88547at33392	H
88604at33392	X
88635at33392	E
88636at33392	G
88686at33392	F
88705at33392	B
88715at33392	H
88748at33392	C
88851at33392	B
88879at33392	G
89088at33392	C
89100at33392	D
89117at33392	G
89173at33392	E
89187at33392	F
89203at33392	D
89285at33392	C
89391at33392	G
89410at33392	A
89419at33392	LG10
89570at33392	E
89824at33392	E
89862at33392	LG10
90022at33392	D
90048at33392	B
90224at33392	D
90341at33392	E
90346at33392	E
90357at33392	A
90422at33392	D
90527at33392	X
90659at33392	D
90670at33392	B
90708at33392	C
90785at33392	C
90913at33392	E
90922at33392	D
91005at33392	E
91023at33392	E
91094at33392	F
91105at33392	D
91180at33392	C
91264at33392	D
91323at33392	G
91368at33392	G
91454at33392	D
91492at33392	D
91556at33392	D
91579at33392	G
91779at33392	B
91793at33392	A
91864at33392	F
92015at33392	A
92102at33392	F
92132at33392	E
92150at33392	E
92303at33392	X
92493at33392	B
92601at33392	A
92651at33392	F
92692at33392	LG10
92701at33392	A
92766at33392	A
92775at33392	A
92822at33392	A
92824at33392	B
92872at33392	H
92959at33392	G
93075at33392	A
93204at33392	C
93257at33392	G
93313at33392	H
93320at33392	D
93407at33392	D
93415at33392	C
93441at33392	G
93499at33392	A
93653at33392	E
93709at33392	E
93742at33392	G
93786at33392	F
93816at33392	F
93870at33392	C
93912at33392	X
93982at33392	A
94044at33392	E
94135at33392	E
94202at33392	E
94285at33392	C
94358at33392	X
94379at33392	C
94474at33392	B
94490at33392	LG10
94539at33392	A
94608at33392	C
94677at33392	C
94725at33392	B
94861at33392	H
94954at33392	X
94963at33392	D
95081at33392	LG10
95137at33392	X
95168at33392	B
95242at33392	B
95275at33392	H
95283at33392	F
95446at33392	A
95475at33392	E
95480at33392	A
95529at33392	X
95720at33392	D
95820at33392	F
95952at33392	D
95972at33392	B
96031at33392	D
96115at33392	A
96156at33392	A
96156at33392	E
96168at33392	E
96199at33392	F
96252at33392	B
96280at33392	D
96418at33392	F
96528at33392	G
96550at33392	B
96617at33392	B
96628at33392	G
96693at33392	B
96727at33392	LG10
96740at33392	A
96748at33392	D
96771at33392	LG10
96820at33392	B
96836at33392	F
96871at33392	E
96881at33392	D
96954at33392	A
96988at33392	E
97032at33392	E
97119at33392	F
97217at33392	E
97223at33392	D
97231at33392	B
97233at33392	LG10
97251at33392	G
97282at33392	H
97285at33392	G
97286at33392	A
97373at33392	D
97376at33392	F
97388at33392	E
97407at33392	F
97448at33392	B
97449at33392	D
97520at33392	D
97602at33392	E
97690at33392	B
97916at33392	A
98034at33392	E
98048at33392	G
98109at33392	E
98165at33392	A
98259at33392	G
98265at33392	G
98320at33392	A
98466at33392	D
98503at33392	G
98509at33392	E
98522at33392	B
98531at33392	E
98562at33392	A
98588at33392	E
98659at33392	D
98920at33392	A
98935at33392	LG10
99014at33392	LG10
99070at33392	E
99130at33392	D
99161at33392	D
99198at33392	G
99225at33392	C
99232at33392	C
99242at33392	B
99296at33392	D
99327at33392	D
99342at33392	F
99350at33392	B
99447at33392	H
99633at33392	B
99674at33392	A
99757at33392	G
99762at33392	A
99795at33392	B
99877at33392	C
99998at33392	D
100002at33392	D
100122at33392	G
100162at33392	A
100171at33392	A
100198at33392	G
100217at33392	X
100233at33392	H
100239at33392	A
100253at33392	B
100343at33392	B
100347at33392	D
100373at33392	E
100396at33392	H
100550at33392	E
100620at33392	F
100935at33392	G
100960at33392	G
100973at33392	E
101212at33392	D
101277at33392	A
101304at33392	E
101378at33392	D
101385at33392	B
101587at33392	A
101613at33392	B
101663at33392	E
101696at33392	E
101781at33392	B
101781at33392	B
101956at33392	X
102001at33392	D
102086at33392	G
102135at33392	B
102164at33392	G
102308at33392	LG10
102359at33392	D
102359at33392	X
102501at33392	F
102589at33392	B
102642at33392	A
102700at33392	G
102803at33392	B
102846at33392	G
103035at33392	X
103079at33392	E
103080at33392	A
103081at33392	D
103118at33392	E
103155at33392	C
103192at33392	B
103199at33392	B
103213at33392	F
103328at33392	A
103383at33392	D
103384at33392	E
103434at33392	G
103497at33392	C
103561at33392	B
103640at33392	B
103701at33392	X
103777at33392	A
103814at33392	C
103826at33392	A
103912at33392	H
103973at33392	D
104002at33392	C
104009at33392	H
104054at33392	F
104208at33392	A
104263at33392	E
104278at33392	G
104370at33392	F
104378at33392	D
104406at33392	A
104415at33392	C
104438at33392	E
104533at33392	C
104570at33392	F
104573at33392	A
104670at33392	H
104680at33392	G
104737at33392	C
104905at33392	B
104955at33392	D
105001at33392	E
105061at33392	A
105069at33392	C
105141at33392	D
105177at33392	B
105301at33392	A
105333at33392	D
105409at33392	G
105412at33392	D
105420at33392	C
105514at33392	A
105702at33392	X
105766at33392	G
105793at33392	B
105948at33392	A
105999at33392	F
106095at33392	X
106188at33392	C
106230at33392	F
106406at33392	A
106428at33392	B
106495at33392	F
106514at33392	LG10
106516at33392	D
106571at33392	D
106592at33392	A
106597at33392	H
106612at33392	G
106634at33392	A
106635at33392	X
106654at33392	D
106677at33392	E
106749at33392	G
106834at33392	E
106896at33392	D
106917at33392	A
106961at33392	H
107024at33392	A
107044at33392	E
107078at33392	H
107083at33392	D
107218at33392	D
107231at33392	C
107239at33392	C
107240at33392	B
107259at33392	H
107263at33392	H
107282at33392	A
107288at33392	F
107320at33392	LG10
107404at33392	E
107469at33392	G
107482at33392	C
107488at33392	B
107568at33392	B
107593at33392	LG10
107628at33392	E
107691at33392	LG10
107704at33392	C
107724at33392	D
107836at33392	D
107893at33392	B
107928at33392	D
107941at33392	A
107956at33392	E
108051at33392	G
108115at33392	F
108119at33392	B
108202at33392	F
108269at33392	B
108282at33392	H
108393at33392	G
108450at33392	A
108485at33392	A
108530at33392	X
108593at33392	B
108672at33392	D
108727at33392	B
108736at33392	H
108782at33392	B
108811at33392	D
108886at33392	A
108896at33392	D
108936at33392	E
108987at33392	D
109085at33392	C
109132at33392	F
109160at33392	C
109182at33392	D
109271at33392	A
109330at33392	A
109368at33392	C
109418at33392	H
109583at33392	A
109693at33392	D
109740at33392	B
109805at33392	C
109888at33392	E
109896at33392	F
109916at33392	D
109967at33392	F
109977at33392	B
110072at33392	D
110113at33392	D
110149at33392	D
110215at33392	F
110295at33392	G
110575at33392	G
110608at33392	F
110621at33392	H
110673at33392	D
110675at33392	G
110730at33392	B
110752at33392	D
110779at33392	G
110940at33392	B
110946at33392	B
111070at33392	E
